Continent,Name,ISO 3
AS,Afghanistan,AFG
EU,Åland Islands,ALA
EU,Albania,ALB
AF,Algeria,DZA
OC,American Samoa,ASM
EU,Andorra,AND
AF,Angola,AGO
AM,Anguilla,AIA
AN,Antarctica,ATA
AM,Antigua and Barbuda,ATG
AM,Argentina,ARG
AS,Armenia,ARM
AM,Aruba,ABW
OC,Australia,AUS
EU,Austria,AUT
AS,Azerbaijan,AZE
AM,Bahamas,BHS
AS,Bahrain,BHR
AS,Bangladesh,BGD
AM,Barbados,BRB
EU,Belarus,BLR
EU,Belgium,BEL
AM,Belize,BLZ
AF,Benin,BEN
AM,Bermuda,BMU
AS,Bhutan,BTN
AM,Bolivia,BOL
AM,"Bonaire, Sint Eustatius and Saba",BES
EU,Bosnia and Herzegovina,BIH
AF,Botswana,BWA
AN,Bouvet Island,BVT
AM,Brazil,BRA
AS,British Indian Ocean Territory,IOT
AS,Brunei Darussalam,BRN
EU,Bulgaria,BGR
AF,Burkina Faso,BFA
AF,Burundi,BDI
AS,Cambodia,KHM
AF,Cameroon,CMR
AM,Canada,CAN
AF,Cape Verde,CPV
AM,Cayman Islands,CYM
AF,Central African Republic,CAF
AF,Chad,TCD
AM,Chile,CHL
AS,China,CHN
AS,Christmas Island,CXR
AS,Cocos (Keeling) Islands,CCK
AM,Colombia,COL
AF,Comoros,COM
AF,Congo,COG
AF,"Congo, the Democratic Republic of the",COD
OC,Cook Islands,COK
AM,Costa Rica,CRI
AF,Côte d'Ivoire,CIV
EU,Croatia,HRV
AM,Cuba,CUB
AM,Curaçao,CUW
AS,Cyprus,CYP
EU,Czech Republic,CZE
EU,Denmark,DNK
AF,Djibouti,DJI
AM,Dominica,DMA
AM,Dominican Republic,DOM
AM,Ecuador,ECU
AF,Egypt,EGY
AM,El Salvador,SLV
AF,Equatorial Guinea,GNQ
AF,Eritrea,ERI
EU,Estonia,EST
AF,Ethiopia,ETH
AM,Falkland Islands (Malvinas),FLK
EU,Faroe Islands,FRO
OC,Fiji,FJI
EU,Finland,FIN
EU,France,FRA
AM,French Guiana,GUF
OC,French Polynesia,PYF
AN,French Southern Territories,ATF
AF,Gabon,GAB
AF,Gambia,GMB
AS,Georgia,GEO
EU,Germany,DEU
AF,Ghana,GHA
EU,Gibraltar,GIB
EU,Greece,GRC
AM,Greenland,GRL
AM,Grenada,GRD
AM,Guadeloupe,GLP
OC,Guam,GUM
AM,Guatemala,GTM
EU,Guernsey,GGY
AF,Guinea,GIN
AF,Guinea-Bissau,GNB
AM,Guyana,GUY
AM,Haiti,HTI
AN,Heard Island and McDonald Islands,HMD
EU,Holy See (Vatican City State),VAT
AM,Honduras,HND
AS,Hong Kong,HKG
EU,Hungary,HUN
EU,Iceland,ISL
AS,India,IND
AS,Indonesia,IDN
AS,"Iran, Islamic Republic of",IRN
AS,Iraq,IRQ
EU,Ireland,IRL
EU,Isle of Man,IMN
AS,Israel,ISR
EU,Italy,ITA
AM,Jamaica,JAM
AS,Japan,JPN
EU,Jersey,JEY
AS,Jordan,JOR
AS,Kazakhstan,KAZ
AF,Kenya,KEN
OC,Kiribati,KIR
AS,"Korea, Democratic People's Republic of",PRK
AS,"Korea, Republic of",KOR
AS,Kuwait,KWT
AS,Kyrgyzstan,KGZ
AS,Lao People's Democratic Republic,LAO
EU,Latvia,LVA
AS,Lebanon,LBN
AF,Lesotho,LSO
AF,Liberia,LBR
AF,Libyan Arab Jamahiriya,LBY
EU,Liechtenstein,LIE
EU,Lithuania,LTU
EU,Luxembourg,LUX
AS,Macao,MAC
EU,"Macedonia, the Former Yugoslav Republic of",MKD
AF,Madagascar,MDG
AF,Malawi,MWI
AS,Malaysia,MYS
AS,Maldives,MDV
AF,Mali,MLI
EU,Malta,MLT
OC,Marshall Islands,MHL
AM,Martinique,MTQ
AF,Mauritania,MRT
AF,Mauritius,MUS
AF,Mayotte,MYT
AM,Mexico,MEX
OC,"Micronesia, Federated States of",FSM
EU,"Moldova, Republic of",MDA
EU,Monaco,MCO
AS,Mongolia,MNG
EU,Montenegro,MNE
AM,Montserrat,MSR
AF,Morocco,MAR
AF,Mozambique,MOZ
AS,Myanmar,MMR
AF,Namibia,NAM
OC,Nauru,NRU
AS,Nepal,NPL
EU,Netherlands,NLD
OC,New Caledonia,NCL
OC,New Zealand,NZL
AM,Nicaragua,NIC
AF,Niger,NER
AF,Nigeria,NGA
OC,Niue,NIU
OC,Norfolk Island,NFK
OC,Northern Mariana Islands,MNP
EU,Norway,NOR
AS,Oman,OMN
AS,Pakistan,PAK
OC,Palau,PLW
AS,"Palestinian Territory, Occupied",PSE
AM,Panama,PAN
OC,Papua New Guinea,PNG
AM,Paraguay,PRY
AM,Peru,PER
AS,Philippines,PHL
OC,Pitcairn,PCN
EU,Poland,POL
EU,Portugal,PRT
AM,Puerto Rico,PRI
AS,Qatar,QAT
AF,Réunion,REU
EU,Romania,ROU
EU,Russian Federation,RUS
AF,Rwanda,RWA
AM,Saint Barthélemy,BLM
AF,Saint Helena,SHN
AM,Saint Kitts and Nevis,KNA
AM,Saint Lucia,LCA
AM,Saint Martin (French part),MAF
AM,Saint Pierre and Miquelon,SPM
AM,Saint Vincent and the Grenadines,VCT
OC,Samoa,WSM
EU,San Marino,SMR
AF,Sao Tome and Principe,STP
AS,Saudi Arabia,SAU
AF,Senegal,SEN
EU,Serbia,SRB
AF,Seychelles,SYC
AF,Sierra Leone,SLE
AS,Singapore,SGP
AM,Sint Maarten (Dutch part),SXM
EU,Slovakia,SVK
EU,Slovenia,SVN
OC,Solomon Islands,SLB
AF,Somalia,SOM
AF,South Africa,ZAF
AN,South Georgia and the South Sandwich Islands,SGS
AF,South Sudan,SSD
EU,Spain,ESP
AS,Sri Lanka,LKA
AF,Sudan,SDN
AM,Suriname,SUR
EU,Svalbard and Jan Mayen,SJM
AF,Swaziland,SWZ
EU,Sweden,SWE
EU,Switzerland,CHE
AS,Syrian Arab Republic,SYR
AS,"Taiwan, Province of China",TWN
AS,Tajikistan,TJK
AF,"Tanzania, United Republic of",TZA
AS,Thailand,THA
AS,Timor-Leste,TLS
AF,Togo,TGO
OC,Tokelau,TKL
OC,Tonga,TON
AM,Trinidad and Tobago,TTO
AF,Tunisia,TUN
EU,Turkey,TUR
AS,Turkmenistan,TKM
AM,Turks and Caicos Islands,TCA
OC,Tuvalu,TUV
AF,Uganda,UGA
EU,Ukraine,UKR
AS,United Arab Emirates,ARE
EU,United Kingdom,GBR
AM,United States,USA
OC,United States Minor Outlying Islands,UMI
AM,Uruguay,URY
AS,Uzbekistan,UZB
OC,Vanuatu,VUT
AM,Venezuela,VEN
AS,Vietnam,VNM
AM,"Virgin Islands, British",VGB
AM,"Virgin Islands, U.S.",VIR
OC,Wallis and Futuna,WLF
AF,Western Sahara,ESH
