"Year","Region","iso_code3","frac_agrc_initial_area_cropland_herbs_and_other_perennial_crops"
2008,"louisiana","LA",0.0319259200271881
2009,"louisiana","LA",0.017494483175655
2010,"louisiana","LA",2.71125189213678e-05
2011,"louisiana","LA",1.2210547339965e-05
2012,"louisiana","LA",1.43326624177305e-05
2013,"louisiana","LA",5.26950788285445e-05
2014,"louisiana","LA",0.0253421504710587
2015,"louisiana","LA",0.0260591945911242
2016,"louisiana","LA",0.0340618756964592
2017,"louisiana","LA",0.0646742786674389
2018,"louisiana","LA",0.047024909582651
2019,"louisiana","LA",0.0458898773207993
2020,"louisiana","LA",0.0433675089628257
2021,"louisiana","LA",0.0374907869016064
2022,"louisiana","LA",0.0332877670426078
2023,"louisiana","LA",0.0344480664323173
