Year,iso_code3,pij_lndu_croplands_to_croplands
2020,LA,0.9928729686936764
2021,LA,0.9928729686936764
2022,LA,0.9928729686936764
2023,LA,0.9928729686936764
2024,LA,0.9928729686936764
2025,LA,0.9928729686936764
2026,LA,0.9928729686936764
2027,LA,0.9928729686936764
2028,LA,0.9928729686936764
2029,LA,0.9928729686936764
2030,LA,0.9928729686936764
2031,LA,0.9928729686936764
2032,LA,0.9928729686936764
2033,LA,0.9928729686936764
2034,LA,0.9928729686936764
2035,LA,0.9928729686936764
2036,LA,0.9928729686936764
2037,LA,0.9928729686936764
2038,LA,0.9928729686936764
2039,LA,0.9928729686936764
2040,LA,0.9928729686936764
2041,LA,0.9928729686936764
2042,LA,0.9928729686936764
2043,LA,0.9928729686936764
2044,LA,0.9928729686936764
2045,LA,0.9928729686936764
2046,LA,0.9928729686936764
2047,LA,0.9928729686936764
2048,LA,0.9928729686936764
2049,LA,0.9928729686936764
2050,LA,0.9928729686936764
