Year,iso_code3,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_other
2017,CMR,0.0
2018,CMR,0.0
2019,CMR,0.0
2020,CMR,0.0
2010,COD,0.0
2011,COD,0.0
2012,COD,0.0
2013,COD,0.0
2014,COD,0.0
2015,COD,0.0
2016,COD,0.0
2017,COD,0.0
2018,COD,0.0
2019,COD,0.0
2020,COD,0.0
2010,COG,0.0
2011,COG,0.0
2012,COG,0.0
2013,COG,0.0
2014,COG,0.0
2015,COG,0.0
2016,COG,0.0
2017,COG,0.0
2018,COG,0.0
2019,COG,0.0
2020,COG,0.0
2010,COL,0.0
2011,COL,0.0
2012,COL,0.0
2013,COL,0.0
2014,COL,0.0
2015,COL,0.0
2016,COL,0.0
2017,COL,0.0
2018,COL,0.0
2019,COL,0.0
2020,COL,0.0
2010,COM,0.0
2011,COM,0.0
2012,COM,0.0
2013,COM,0.0
2014,COM,0.0
2015,COM,0.0
2016,COM,0.0
2017,COM,0.0
2018,COM,0.0
2019,COM,0.0
2020,COM,0.0
2010,CPV,0.0
2011,CPV,0.0
2012,CPV,0.0
2013,CPV,0.0
2014,CPV,0.0
2015,CPV,0.0
2016,CPV,0.0
2017,CPV,0.0
2018,CPV,0.0
2019,CPV,0.0
2020,CPV,0.0
2010,CRI,0.0
2011,CRI,0.0
2012,CRI,0.0
2013,CRI,0.0
2014,CRI,0.0
2015,CRI,0.0
2016,CRI,0.0
2017,CRI,0.0
2018,CRI,0.0
2019,CRI,0.0
2020,CRI,0.0
2010,CUB,0.0
2011,CUB,0.0
2012,CUB,0.0
2013,CUB,0.0
2014,CUB,0.0
2015,CUB,0.0
2016,CUB,0.0
2017,CUB,0.0
2018,CUB,0.0
2019,CUB,0.0
2020,CUB,0.0
2010,CUW,0.0
2011,CUW,0.0
2012,CUW,0.0
2013,CUW,0.0
2014,CUW,0.0
2015,CUW,0.0
2016,CUW,0.0
2017,CUW,0.0
2018,CUW,0.0
2019,CUW,0.0
2020,CUW,0.0
2010,CYM,0.0
2011,CYM,0.0
2012,CYM,0.0
2013,CYM,0.0
2014,CYM,0.0
2015,CYM,0.0
2016,CYM,0.0
2017,CYM,0.0
2018,CYM,0.0
2019,CYM,0.0
2020,CYM,0.0
2010,CYP,0.0
2011,CYP,0.0
2012,CYP,0.0
2013,CYP,0.0
2014,CYP,0.0
2015,CYP,0.0
2016,CYP,0.0
2017,CYP,0.0
2018,CYP,0.0
2019,CYP,0.0
2020,CYP,0.0
2010,CZE,0.0013262469121301
2011,CZE,0.0015566991409527
2012,CZE,0.0012873065297715
2013,CZE,0.0012770417401898
2014,CZE,0.0013510979329456
2015,CZE,0.0013835842550023
2016,CZE,0.0012886129772619
2017,CZE,0.0015190123135966
2018,CZE,0.0014492832274402
2019,CZE,0.0014163741873997
2020,CZE,0.0013849265028663
2010,DEU,0.0014208959046724
2011,DEU,0.0014796781531939
2012,DEU,0.0013650233454681
2013,DEU,0.0012638053706818
2014,DEU,0.0012037978080352
2015,DEU,0.0011216897506292
2016,DEU,0.0010652110495509
2017,DEU,0.0010197672139417
2018,DEU,0.0010244769651626
2019,DEU,0.0009587663209809
2020,DEU,0.0009500687504753
2010,DJI,0.0
2011,DJI,0.0
2012,DJI,0.0
2013,DJI,0.0
2014,DJI,0.0
2015,DJI,0.0
2016,DJI,0.0
2017,DJI,0.0
2018,DJI,0.0
2019,DJI,0.0
2020,DJI,0.0
2010,DMA,0.0
2011,DMA,0.0
2012,DMA,0.0
2013,DMA,0.0
2014,DMA,0.0
2015,DMA,0.0
2016,DMA,0.0
2017,DMA,0.0
2018,DMA,0.0
2019,DMA,0.0
2020,DMA,0.0
2010,DNK,0.0
2011,DNK,0.0
2012,DNK,0.0
2013,DNK,0.0
2014,DNK,0.0
2015,DNK,0.0
2016,DNK,0.0
2017,DNK,0.0
2018,DNK,0.0
2019,DNK,0.0
2020,DNK,0.0
2010,DOM,0.0
2011,DOM,0.0
2012,DOM,0.0
2013,DOM,0.0
2014,DOM,0.0
2015,DOM,0.0
2016,DOM,0.0
2017,DOM,0.0
2018,DOM,0.0
2019,DOM,0.0
2020,DOM,0.0
2010,DZA,0.0
2011,DZA,0.0
2012,DZA,0.0
2013,DZA,0.0
2014,DZA,0.0
2015,DZA,0.0
2016,DZA,0.0
2017,DZA,0.0
2018,DZA,0.0
2019,DZA,0.0
2020,DZA,0.0
2010,ECU,0.0
2011,ECU,0.0
2012,ECU,0.0
2013,ECU,0.0
2014,ECU,0.0
2015,ECU,0.0
2016,ECU,0.0
2017,ECU,0.0
2018,ECU,0.0
2019,ECU,0.0
2020,ECU,0.0
2010,EGY,0.0
2011,EGY,0.0
2012,EGY,0.0
2013,EGY,0.0
2014,EGY,0.0
2015,EGY,0.0
2016,EGY,0.0
2017,EGY,0.0
2018,EGY,0.0
2019,EGY,0.0
2020,EGY,0.0
2010,ERI,0.0
2011,ERI,0.0
2012,ERI,0.0
2013,ERI,0.0
2014,ERI,0.0
2015,ERI,0.0
2016,ERI,0.0
2017,ERI,0.0
2018,ERI,0.0
2019,ERI,0.0
2020,ERI,0.0
2010,ESP,0.0
2011,ESP,0.0
2012,ESP,0.0
2013,ESP,0.0
2014,ESP,1.8467791347526043e-05
2015,ESP,1.327740190247197e-05
2016,ESP,1.1708657677809687e-05
2017,ESP,9.943449049277347e-06
2018,ESP,1.0892365144864567e-05
2019,ESP,1.0781291072958356e-05
2020,ESP,1.0672459472557057e-05
2010,EST,0.0
2011,EST,0.0
2012,EST,0.0
2013,EST,0.0
2014,EST,0.0
2015,EST,0.0
2016,EST,0.0
2017,EST,0.0
2018,EST,0.0
2019,EST,0.0
2020,EST,0.0
2010,ETH,0.0
2011,ETH,0.0
2012,ETH,0.0
2013,ETH,0.0
2014,ETH,0.0
2015,ETH,0.0
2016,ETH,0.0
2017,ETH,0.0
2018,ETH,0.0
2019,ETH,0.0
2020,ETH,0.0
2010,FIN,0.0004564473049301
2011,FIN,0.000499944239647
2012,FIN,0.0005446092765423
2013,FIN,0.0005470293584189
2014,FIN,0.0005616677050183
2015,FIN,0.0005974388713562
2016,FIN,0.0006128715121418
2017,FIN,0.0006024721392384
2018,FIN,0.0006005625723879
2019,FIN,0.000593347263405
2020,FIN,0.0005863032692571
2010,FJI,0.0
2011,FJI,0.0
2012,FJI,0.0
2013,FJI,0.0
2014,FJI,0.0
2015,FJI,0.0
2016,FJI,0.0
2017,FJI,0.0
2018,FJI,0.0
2019,FJI,0.0
2020,FJI,0.0
2010,FRA,0.0002034230799809
2011,FRA,0.000297519690099
2012,FRA,0.000172369266446
2013,FRA,0.0001024206513695
2014,FRA,5.6200437600780845e-05
2015,FRA,4.8757706338196185e-05
2016,FRA,4.266147159035906e-05
2017,FRA,0.0001150211971528
2018,FRA,0.0001244372074231
2019,FRA,0.0001237297909969
2020,FRA,0.0001230303723253
2010,FRO,2.8599561849666427e-05
2011,FRO,0.0001105376420158
2012,FRO,3.0199962736292952e-05
2013,FRO,7.310577464612294e-06
2014,FRO,2.3164872712439902e-05
2015,FRO,1.7701776793163476e-05
2016,FRO,3.7428016370082815e-05
2017,FRO,6.002193761774836e-05
2018,FRO,0.0001310548484047
2019,FRO,0.0001279039616694
2020,FRO,0.0001249010281822
2010,FSM,0.0
2011,FSM,0.0
2012,FSM,0.0
2013,FSM,0.0
2014,FSM,0.0
2015,FSM,0.0
2016,FSM,0.0
2017,FSM,0.0
2018,FSM,0.0
2019,FSM,0.0
2020,FSM,0.0
2010,GAB,0.0
2011,GAB,0.0
2012,GAB,0.0
2013,GAB,0.0
2014,GAB,0.0
2015,GAB,0.0
2016,GAB,0.0
2017,GAB,0.0
2018,GAB,0.0
2019,GAB,0.0
2020,GAB,0.0
2010,GBR,0.0001926067691297
2011,GBR,0.0001919371202067
2012,GBR,0.000205870063693
2013,GBR,0.0002209515975908
2014,GBR,0.0002372782538043
2015,GBR,0.0002549548578672
2016,GBR,0.0002785460731699
2017,GBR,0.0003045471140798
2018,GBR,0.0003340037616123
2019,GBR,0.0003317811606765
2020,GBR,0.0003295879444378
2010,GEO,0.0
2011,GEO,0.0
2012,GEO,0.0
2013,GEO,0.0
2014,GEO,0.0
2015,GEO,0.0
2016,GEO,0.0
2017,GEO,0.0
2018,GEO,0.0
2019,GEO,0.0
2020,GEO,0.0
2010,GHA,0.0
2011,GHA,0.0
2012,GHA,0.0
2013,GHA,0.0
2014,GHA,0.0
2015,GHA,0.0
2016,GHA,0.0
2017,GHA,0.0
2018,GHA,0.0
2019,GHA,0.0
2020,GHA,0.0
2010,GIB,0.0
2011,GIB,0.0
2012,GIB,0.0
2013,GIB,0.0
2014,GIB,0.0
2015,GIB,0.0
2016,GIB,0.0
2017,GIB,0.0
2018,GIB,0.0
2019,GIB,0.0
2020,GIB,0.0
2010,GIN,0.0
2011,GIN,0.0
2012,GIN,0.0
2013,GIN,0.0
2014,GIN,0.0
2015,GIN,0.0
2016,GIN,0.0
2017,GIN,0.0
2018,GIN,0.0
2019,GIN,0.0
2020,GIN,0.0
2010,GMB,0.0
2011,GMB,0.0
2012,GMB,0.0
2013,GMB,0.0
2014,GMB,0.0
2015,GMB,0.0
2016,GMB,0.0
2017,GMB,0.0
2018,GMB,0.0
2019,GMB,0.0
2020,GMB,0.0
2010,GNB,0.0
2011,GNB,0.0
2012,GNB,0.0
2013,GNB,0.0
2014,GNB,0.0
2015,GNB,0.0
2016,GNB,0.0
2017,GNB,0.0
2018,GNB,0.0
2019,GNB,0.0
2020,GNB,0.0
2010,GNQ,0.0
2011,GNQ,0.0
2012,GNQ,0.0
2013,GNQ,0.0
2014,GNQ,0.0
2015,GNQ,0.0
2016,GNQ,0.0
2017,GNQ,0.0
2018,GNQ,0.0
2019,GNQ,0.0
2020,GNQ,0.0
2010,GRC,0.0258543768564163
2011,GRC,0.0227742922241262
2012,GRC,0.0253900239382592
2013,GRC,0.0255645974167871
2014,GRC,0.0206071718373044
2015,GRC,0.0199708985653404
2016,GRC,0.0174041954661774
2017,GRC,0.0161578346228426
2018,GRC,0.0134538584723497
2019,GRC,0.0134209400040166
2020,GRC,0.0133881822302011
2010,GRD,0.0
2011,GRD,0.0
2012,GRD,0.0
2013,GRD,0.0
2014,GRD,0.0
2015,GRD,0.0
2016,GRD,0.0
2017,GRD,0.0
2018,GRD,0.0
2019,GRD,0.0
2020,GRD,0.0
2010,GRL,2.8599561849666427e-05
2011,GRL,0.0001105376420158
2012,GRL,3.0199962736292952e-05
2013,GRL,7.310577464612294e-06
2014,GRL,2.3164872712439902e-05
2015,GRL,1.7701776793163476e-05
2016,GRL,3.7428016370082815e-05
2017,GRL,6.002193761774836e-05
2018,GRL,0.0001310548484047
2019,GRL,0.0001279039616694
2020,GRL,0.0001249010281822
2010,GTM,0.0
2011,GTM,0.0
2012,GTM,0.0
2013,GTM,0.0
2014,GTM,0.0
2015,GTM,0.0
2016,GTM,0.0
2017,GTM,0.0
2018,GTM,0.0
2019,GTM,0.0
2020,GTM,0.0
2010,GUM,0.0
2011,GUM,0.0
2012,GUM,0.0
2013,GUM,0.0
2014,GUM,0.0
2015,GUM,0.0
2016,GUM,0.0
2017,GUM,0.0
2018,GUM,0.0
2019,GUM,0.0
2020,GUM,0.0
2010,GUY,0.0
2011,GUY,0.0
2012,GUY,0.0
2013,GUY,0.0
2014,GUY,0.0
2015,GUY,0.0
2016,GUY,0.0
2017,GUY,0.0
2018,GUY,0.0
2019,GUY,0.0
2020,GUY,0.0
2010,HKG,0.0
2011,HKG,0.0
2012,HKG,0.0
2013,HKG,0.0
2014,HKG,0.0
2015,HKG,0.0
2016,HKG,0.0
2017,HKG,0.0
2018,HKG,0.0
2019,HKG,0.0
2020,HKG,0.0
2010,HND,0.0
2011,HND,0.0
2012,HND,0.0
2013,HND,0.0
2014,HND,0.0
2015,HND,0.0
2016,HND,0.0
2017,HND,0.0
2018,HND,0.0
2019,HND,0.0
2020,HND,0.0
2010,HRV,0.0004725705691398
2011,HRV,0.0002556020092936
2012,HRV,0.0
2013,HRV,0.0
2014,HRV,0.0
2015,HRV,0.0
2016,HRV,0.0
2017,HRV,0.0
2018,HRV,0.0
2019,HRV,0.0
2020,HRV,0.0
2010,HTI,0.0
2011,HTI,0.0
2012,HTI,0.0
2013,HTI,0.0
2014,HTI,0.0
2015,HTI,0.0
2016,HTI,0.0
2017,HTI,0.0
2018,HTI,0.0
2019,HTI,0.0
2020,HTI,0.0
2010,HUN,0.0018266684238787
2011,HUN,0.0024273463471393
2012,HUN,0.0024740235300805
2013,HUN,0.0027120000583899
2014,HUN,0.0029687527737992
2015,HUN,0.0030704205255853
2016,HUN,0.0032980624412677
2017,HUN,0.0031116857155728
2018,HUN,0.003472838712215
2019,HUN,0.0033777623216508
2020,HUN,0.0032877530471935
2010,IDN,0.0
2011,IDN,0.0
2012,IDN,0.0
2013,IDN,0.0
2014,IDN,0.0
2015,IDN,0.0
2016,IDN,0.0
2017,IDN,0.0
2018,IDN,0.0
2019,IDN,0.0
2020,IDN,0.0
2010,IMN,0.0008977849582071
2011,IMN,0.0006431221691651
2012,IMN,0.0005754456528168
2013,IMN,0.0006627459846844
2014,IMN,0.0002486548540044
2015,IMN,0.0007139496935469
2016,IMN,0.0003002478850861
2017,IMN,0.0004791435359136
2018,IMN,0.0008868839630813
2019,IMN,0.0008352886416851
2020,IMN,0.0007893664922683
2010,IND,0.0
2011,IND,0.0
2012,IND,0.0
2013,IND,0.0
2014,IND,0.0
2015,IND,0.0
2016,IND,0.0
2017,IND,0.0
2018,IND,0.0
2019,IND,0.0
2020,IND,0.0
2010,IRL,0.0008977849582071
2011,IRL,0.0006431221691651
2012,IRL,0.0005754456528168
2013,IRL,0.0006627459846844
2014,IRL,0.0002486548540044
2015,IRL,0.0007139496935469
2016,IRL,0.0003002478850861
2017,IRL,0.0004791435359136
2018,IRL,0.0008868839630813
2019,IRL,0.0008352886416851
2020,IRL,0.0007893664922683
2010,IRN,0.0
2011,IRN,0.0
2012,IRN,0.0
2013,IRN,0.0
2014,IRN,0.0
2015,IRN,0.0
2016,IRN,0.0
2017,IRN,0.0
2018,IRN,0.0
2019,IRN,0.0
2020,IRN,0.0
2010,IRQ,0.0
2011,IRQ,0.0
2012,IRQ,0.0
2013,IRQ,0.0
2014,IRQ,0.0
2015,IRQ,0.0
2016,IRQ,0.0
2017,IRQ,0.0
2018,IRQ,0.0
2019,IRQ,0.0
2020,IRQ,0.0
2010,ISL,2.8599561849666427e-05
2011,ISL,0.0001105376420158
2012,ISL,3.0199962736292952e-05
2013,ISL,7.310577464612294e-06
2014,ISL,2.3164872712439902e-05
2015,ISL,1.7701776793163476e-05
2016,ISL,3.7428016370082815e-05
2017,ISL,6.002193761774836e-05
2018,ISL,0.0001310548484047
2019,ISL,0.0001279039616694
2020,ISL,0.0001249010281822
2010,ISR,0.0
2011,ISR,0.0
2012,ISR,0.0
2013,ISR,0.0
2014,ISR,0.0
2015,ISR,0.0
2016,ISR,0.0
2017,ISR,0.0
2018,ISR,0.0
2019,ISR,0.0
2020,ISR,0.0
2010,ITA,0.0049945988988065
2011,ITA,0.0049782222132477
2012,ITA,0.0047597160350557
2013,ITA,0.0046772834411391
2014,ITA,0.0046094796775541
2015,ITA,0.004649601728268
2016,ITA,0.0046282934169759
2017,ITA,0.0045084502466198
2018,ITA,0.0042510538179998
2019,ITA,0.0042589590334793
2020,ITA,0.0042647336980262
2010,JAM,0.0
2011,JAM,0.0
2012,JAM,0.0
2013,JAM,0.0
2014,JAM,0.0
2015,JAM,0.0
2016,JAM,0.0
2017,JAM,0.0
2018,JAM,0.0
2019,JAM,0.0
2020,JAM,0.0
2010,JOR,0.0
2011,JOR,0.0
2012,JOR,0.0
2013,JOR,0.0
2014,JOR,0.0
2015,JOR,0.0
2016,JOR,0.0
2017,JOR,0.0
2018,JOR,0.0
2019,JOR,0.0
2020,JOR,0.0
2010,JPN,0.0014141316252552
2011,JPN,0.0012018613330267
2012,JPN,0.0010057457980627
2013,JPN,0.0008887498380109
2014,JPN,0.0009006862125212
2015,JPN,0.0008838853116191
2016,JPN,0.0009139912949011
2017,JPN,0.0009554972064321
2018,JPN,0.000875492349061
2019,JPN,0.0007882897070374
2020,JPN,0.0007860905150684
2010,KAZ,0.0
2011,KAZ,0.0
2012,KAZ,0.0
2013,KAZ,0.0
2014,KAZ,0.0
2015,KAZ,0.0
2016,KAZ,0.0
2017,KAZ,0.0
2018,KAZ,0.0
2019,KAZ,0.0
2020,KAZ,0.0
2010,KEN,0.0
2011,KEN,0.0
2012,KEN,0.0
2013,KEN,0.0
2014,KEN,0.0
2015,KEN,0.0
2016,KEN,0.0
2017,KEN,0.0
2018,KEN,0.0
2019,KEN,0.0
2020,KEN,0.0
2010,KGZ,0.0
2011,KGZ,0.0
2012,KGZ,0.0
2013,KGZ,0.0
2014,KGZ,0.0
2015,KGZ,0.0
2016,KGZ,0.0
2017,KGZ,0.0
2018,KGZ,0.0
2019,KGZ,0.0
2020,KGZ,0.0
2010,KHM,0.0
2011,KHM,0.0
2012,KHM,0.0
2013,KHM,0.0
2014,KHM,0.0
2015,KHM,0.0
2016,KHM,0.0
2017,KHM,0.0
2018,KHM,0.0
2019,KHM,0.0
2020,KHM,0.0
2010,KIR,0.0
2011,KIR,0.0
2012,KIR,0.0
2013,KIR,0.0
2014,KIR,0.0
2015,KIR,0.0
2016,KIR,0.0
2017,KIR,0.0
2018,KIR,0.0
2019,KIR,0.0
2020,KIR,0.0
2010,KNA,0.0
2011,KNA,0.0
2012,KNA,0.0
2013,KNA,0.0
2014,KNA,0.0
2015,KNA,0.0
2016,KNA,0.0
2017,KNA,0.0
2018,KNA,0.0
2019,KNA,0.0
2020,KNA,0.0
2010,KOR,7.68066616800496e-06
2011,KOR,7.340916343656931e-06
2012,KOR,1.0544925822420914e-05
2013,KOR,1.0116389262921878e-05
