iso_code3,Region,Year,frac_inen_energy_mining_oil
LA,louisiana,2021,0.0527141254057221
LA,louisiana,2022,0.0485563616881034
LA,louisiana,2023,0.0446967050882585
LA,louisiana,2024,0.0406695116373168
LA,louisiana,2025,0.036459732611503
LA,louisiana,2026,0.0321037945728329
LA,louisiana,2027,0.027654237782984
LA,louisiana,2028,0.0231632605230644
LA,louisiana,2029,0.0186767018882216
LA,louisiana,2030,0.0142268000394441
LA,louisiana,2031,0.0098366033801035
LA,louisiana,2032,0.0055215031345882
LA,louisiana,2033,0.001290823980015
LA,louisiana,2034,0.0
LA,louisiana,2035,0.0
LA,louisiana,2036,0.0
LA,louisiana,2037,0.0
LA,louisiana,2038,0.0
LA,louisiana,2039,0.0
LA,louisiana,2040,0.0
LA,louisiana,2041,0.0
LA,louisiana,2042,0.0
LA,louisiana,2043,0.0
LA,louisiana,2044,0.0
LA,louisiana,2045,0.0
LA,louisiana,2046,0.0
LA,louisiana,2047,0.0
LA,louisiana,2048,0.0
LA,louisiana,2049,0.0
LA,louisiana,2050,0.0
