Year,iso_code3,pij_lndu_forests_secondary_to_croplands
2020,LA,0.0006812340412315665
2021,LA,0.0006812340412315665
2022,LA,0.0006812340412315665
2023,LA,0.0006812340412315665
2024,LA,0.0006812340412315665
2025,LA,0.0006812340412315665
2026,LA,0.0006812340412315665
2027,LA,0.0006812340412315665
2028,LA,0.0006812340412315665
2029,LA,0.0006812340412315665
2030,LA,0.0006812340412315665
2031,LA,0.0006812340412315665
2032,LA,0.0006812340412315665
2033,LA,0.0006812340412315665
2034,LA,0.0006812340412315665
2035,LA,0.0006812340412315665
2036,LA,0.0006812340412315665
2037,LA,0.0006812340412315665
2038,LA,0.0006812340412315665
2039,LA,0.0006812340412315665
2040,LA,0.0006812340412315665
2041,LA,0.0006812340412315665
2042,LA,0.0006812340412315665
2043,LA,0.0006812340412315665
2044,LA,0.0006812340412315665
2045,LA,0.0006812340412315665
2046,LA,0.0006812340412315665
2047,LA,0.0006812340412315665
2048,LA,0.0006812340412315665
2049,LA,0.0006812340412315665
2050,LA,0.0006812340412315665
