Year,iso_code3,pij_lndu_wetlands_to_forests_secondary
2020,LA,0.00026275541737853965
2021,LA,0.00026275541737853965
2022,LA,0.00026275541737853965
2023,LA,0.00026275541737853965
2024,LA,0.00026275541737853965
2025,LA,0.00026275541737853965
2026,LA,0.00026275541737853965
2027,LA,0.00026275541737853965
2028,LA,0.00026275541737853965
2029,LA,0.00026275541737853965
2030,LA,0.00026275541737853965
2031,LA,0.00026275541737853965
2032,LA,0.00026275541737853965
2033,LA,0.00026275541737853965
2034,LA,0.00026275541737853965
2035,LA,0.00026275541737853965
2036,LA,0.00026275541737853965
2037,LA,0.00026275541737853965
2038,LA,0.00026275541737853965
2039,LA,0.00026275541737853965
2040,LA,0.00026275541737853965
2041,LA,0.00026275541737853965
2042,LA,0.00026275541737853965
2043,LA,0.00026275541737853965
2044,LA,0.00026275541737853965
2045,LA,0.00026275541737853965
2046,LA,0.00026275541737853965
2047,LA,0.00026275541737853965
2048,LA,0.00026275541737853965
2049,LA,0.00026275541737853965
2050,LA,0.00026275541737853965
