"Year","Region","iso_code3","frac_agrc_crop_demand_imported_cereals"
2024,"louisiana","LA",0.0176385491167755
2025,"louisiana","LA",0.0176385491167755
2026,"louisiana","LA",0.0176385491167755
2027,"louisiana","LA",0.0176385491167755
2028,"louisiana","LA",0.0176385491167755
2029,"louisiana","LA",0.0176385491167755
2030,"louisiana","LA",0.0176385491167755
2031,"louisiana","LA",0.0176385491167755
2032,"louisiana","LA",0.0176385491167755
2033,"louisiana","LA",0.0176385491167755
2034,"louisiana","LA",0.0176385491167755
2035,"louisiana","LA",0.0176385491167755
2036,"louisiana","LA",0.0176385491167755
2037,"louisiana","LA",0.0176385491167755
2038,"louisiana","LA",0.0176385491167755
2039,"louisiana","LA",0.0176385491167755
2040,"louisiana","LA",0.0176385491167755
2041,"louisiana","LA",0.0176385491167755
2042,"louisiana","LA",0.0176385491167755
2043,"louisiana","LA",0.0176385491167755
2044,"louisiana","LA",0.0176385491167755
2045,"louisiana","LA",0.0176385491167755
2046,"louisiana","LA",0.0176385491167755
2047,"louisiana","LA",0.0176385491167755
2048,"louisiana","LA",0.0176385491167755
2049,"louisiana","LA",0.0176385491167755
2050,"louisiana","LA",0.0176385491167755
