"Year","Region","iso_code3","frac_agrc_initial_area_cropland_nuts"
2024,"louisiana","LA",0.1
2025,"louisiana","LA",0.2
2026,"louisiana","LA",0.3
2027,"louisiana","LA",0.4
2028,"louisiana","LA",0.5
2029,"louisiana","LA",0.6
2030,"louisiana","LA",0.7
2031,"louisiana","LA",0.8
2032,"louisiana","LA",0.9
2033,"louisiana","LA",1
2034,"louisiana","LA",1
2035,"louisiana","LA",1
2036,"louisiana","LA",1
2037,"louisiana","LA",1
2038,"louisiana","LA",1
2039,"louisiana","LA",1
2040,"louisiana","LA",1
2041,"louisiana","LA",1
2042,"louisiana","LA",1
2043,"louisiana","LA",1
2044,"louisiana","LA",1
2045,"louisiana","LA",1
2046,"louisiana","LA",1
2047,"louisiana","LA",1
2048,"louisiana","LA",1
2049,"louisiana","LA",1
2050,"louisiana","LA",1
