Year,Region,iso_code3,yf_agrc_bevs_and_spices_tonne_ha
2020,louisiana,LA,0.615736111
2021,louisiana,LA,0.615736111
2022,louisiana,LA,0.615736111
2023,louisiana,LA,0.615736111
2024,louisiana,LA,0.615736111
2025,louisiana,LA,0.615736111
2026,louisiana,LA,0.615736111
2027,louisiana,LA,0.615736111
2028,louisiana,LA,0.615736111
2029,louisiana,LA,0.615736111
2030,louisiana,LA,0.615736111
2031,louisiana,LA,0.615736111
2032,louisiana,LA,0.615736111
2033,louisiana,LA,0.615736111
2034,louisiana,LA,0.615736111
2035,louisiana,LA,0.615736111
2036,louisiana,LA,0.615736111
2037,louisiana,LA,0.615736111
2038,louisiana,LA,0.615736111
2039,louisiana,LA,0.615736111
2040,louisiana,LA,0.615736111
2041,louisiana,LA,0.615736111
2042,louisiana,LA,0.615736111
2043,louisiana,LA,0.615736111
2044,louisiana,LA,0.615736111
2045,louisiana,LA,0.615736111
2046,louisiana,LA,0.615736111
2047,louisiana,LA,0.615736111
2048,louisiana,LA,0.615736111
2049,louisiana,LA,0.615736111
2050,louisiana,LA,0.615736111
