Year,iso_code3,pij_lndu_grasslands_to_croplands
2020,LA,0.0005705668238348575
2021,LA,0.0005705668238348575
2022,LA,0.0005705668238348575
2023,LA,0.0005705668238348575
2024,LA,0.0005705668238348575
2025,LA,0.0005705668238348575
2026,LA,0.0005705668238348575
2027,LA,0.0005705668238348575
2028,LA,0.0005705668238348575
2029,LA,0.0005705668238348575
2030,LA,0.0005705668238348575
2031,LA,0.0005705668238348575
2032,LA,0.0005705668238348575
2033,LA,0.0005705668238348575
2034,LA,0.0005705668238348575
2035,LA,0.0005705668238348575
2036,LA,0.0005705668238348575
2037,LA,0.0005705668238348575
2038,LA,0.0005705668238348575
2039,LA,0.0005705668238348575
2040,LA,0.0005705668238348575
2041,LA,0.0005705668238348575
2042,LA,0.0005705668238348575
2043,LA,0.0005705668238348575
2044,LA,0.0005705668238348575
2045,LA,0.0005705668238348575
2046,LA,0.0005705668238348575
2047,LA,0.0005705668238348575
2048,LA,0.0005705668238348575
2049,LA,0.0005705668238348575
2050,LA,0.0005705668238348575
