Year,iso_code3,pij_lndu_croplands_to_wetlands
2020,LA,0.0003008552084379755
2021,LA,0.0003008552084379755
2022,LA,0.0003008552084379755
2023,LA,0.0003008552084379755
2024,LA,0.0003008552084379755
2025,LA,0.0003008552084379755
2026,LA,0.0003008552084379755
2027,LA,0.0003008552084379755
2028,LA,0.0003008552084379755
2029,LA,0.0003008552084379755
2030,LA,0.0003008552084379755
2031,LA,0.0003008552084379755
2032,LA,0.0003008552084379755
2033,LA,0.0003008552084379755
2034,LA,0.0003008552084379755
2035,LA,0.0003008552084379755
2036,LA,0.0003008552084379755
2037,LA,0.0003008552084379755
2038,LA,0.0003008552084379755
2039,LA,0.0003008552084379755
2040,LA,0.0003008552084379755
2041,LA,0.0003008552084379755
2042,LA,0.0003008552084379755
2043,LA,0.0003008552084379755
2044,LA,0.0003008552084379755
2045,LA,0.0003008552084379755
2046,LA,0.0003008552084379755
2047,LA,0.0003008552084379755
2048,LA,0.0003008552084379755
2049,LA,0.0003008552084379755
2050,LA,0.0003008552084379755
