"Year","Region","iso_code3","frac_inen_energy_agriculture_and_livestock_oil"
2021,"louisiana","LA",0.376027502815482
2022,"louisiana","LA",0.376027502815482
2023,"louisiana","LA",0.376027502815482
2024,"louisiana","LA",0.376027502815482
2025,"louisiana","LA",0.376027502815482
2026,"louisiana","LA",0.376027502815482
2027,"louisiana","LA",0.376027502815482
2028,"louisiana","LA",0.376027502815482
2029,"louisiana","LA",0.376027502815482
2030,"louisiana","LA",0.376027502815482
2031,"louisiana","LA",0.376027502815482
2032,"louisiana","LA",0.376027502815482
2033,"louisiana","LA",0.376027502815482
2034,"louisiana","LA",0.376027502815482
2035,"louisiana","LA",0.376027502815482
2036,"louisiana","LA",0.376027502815482
2037,"louisiana","LA",0.376027502815482
2038,"louisiana","LA",0.376027502815482
2039,"louisiana","LA",0.376027502815482
2040,"louisiana","LA",0.376027502815482
2041,"louisiana","LA",0.376027502815482
2042,"louisiana","LA",0.376027502815482
2043,"louisiana","LA",0.376027502815482
2044,"louisiana","LA",0.376027502815482
2045,"louisiana","LA",0.376027502815482
2046,"louisiana","LA",0.376027502815482
2047,"louisiana","LA",0.376027502815482
2048,"louisiana","LA",0.376027502815482
2049,"louisiana","LA",0.376027502815482
2050,"louisiana","LA",0.376027502815482
