"Year","Region","iso_code3","frac_agrc_crop_demand_imported_fibers"
2024,"louisiana","LA",0.0155776812528821
2025,"louisiana","LA",0.0155776812528821
2026,"louisiana","LA",0.0155776812528821
2027,"louisiana","LA",0.0155776812528821
2028,"louisiana","LA",0.0155776812528821
2029,"louisiana","LA",0.0155776812528821
2030,"louisiana","LA",0.0155776812528821
2031,"louisiana","LA",0.0155776812528821
2032,"louisiana","LA",0.0155776812528821
2033,"louisiana","LA",0.0155776812528821
2034,"louisiana","LA",0.0155776812528821
2035,"louisiana","LA",0.0155776812528821
2036,"louisiana","LA",0.0155776812528821
2037,"louisiana","LA",0.0155776812528821
2038,"louisiana","LA",0.0155776812528821
2039,"louisiana","LA",0.0155776812528821
2040,"louisiana","LA",0.0155776812528821
2041,"louisiana","LA",0.0155776812528821
2042,"louisiana","LA",0.0155776812528821
2043,"louisiana","LA",0.0155776812528821
2044,"louisiana","LA",0.0155776812528821
2045,"louisiana","LA",0.0155776812528821
2046,"louisiana","LA",0.0155776812528821
2047,"louisiana","LA",0.0155776812528821
2048,"louisiana","LA",0.0155776812528821
2049,"louisiana","LA",0.0155776812528821
2050,"louisiana","LA",0.0155776812528821
