"Year","Region","iso_code3","frac_agrc_initial_area_cropland_fibers"
2008,"louisiana","LA",0.0578636921979136
2009,"louisiana","LA",0.0445058165485745
2010,"louisiana","LA",0.0577761218733963
2011,"louisiana","LA",0.0658822262182692
2012,"louisiana","LA",0.0533726298186411
2013,"louisiana","LA",0.0282006496864094
2014,"louisiana","LA",0.037257467914527
2015,"louisiana","LA",0.0224533898698316
2016,"louisiana","LA",0.0262117553951538
2017,"louisiana","LA",0.0301813300448048
2018,"louisiana","LA",0.0394660337365744
2019,"louisiana","LA",0.0623181502016729
2020,"louisiana","LA",0.0355229249690203
2021,"louisiana","LA",0.0214659470149561
2022,"louisiana","LA",0.0416013467814636
2023,"louisiana","LA",0.0261509684035549
