Year,scalar_scoe_appliance_energy_demand_other_se,Iso_code3,Region
2022,1,LA,louisiana
2023,1,LA,louisiana
2024,1,LA,louisiana
2025,1,LA,louisiana
2026,1,LA,louisiana
2027,1,LA,louisiana
2028,1,LA,louisiana
2029,1,LA,louisiana
2030,1,LA,louisiana
2031,1,LA,louisiana
2032,1,LA,louisiana
2033,1,LA,louisiana
2034,1,LA,louisiana
2035,1,LA,louisiana
2036,1,LA,louisiana
2037,1,LA,louisiana
2038,1,LA,louisiana
2039,1,LA,louisiana
2040,1,LA,louisiana
2041,1,LA,louisiana
2042,1,LA,louisiana
2043,1,LA,louisiana
2044,1,LA,louisiana
2045,1,LA,louisiana
2046,1,LA,louisiana
2047,1,LA,louisiana
2048,1,LA,louisiana
2049,1,LA,louisiana
2050,1,LA,louisiana
