,iso_code3,Region,Year,efficfactor_scoe_heat_energy_other_se_diesel
0,LA,louisiana,2024,0.825
1,LA,louisiana,2025,0.825
2,LA,louisiana,2026,0.825
3,LA,louisiana,2027,0.825
4,LA,louisiana,2028,0.825
5,LA,louisiana,2029,0.825
6,LA,louisiana,2030,0.825
7,LA,louisiana,2031,0.825
8,LA,louisiana,2032,0.825
9,LA,louisiana,2033,0.825
10,LA,louisiana,2034,0.825
11,LA,louisiana,2035,0.825
12,LA,louisiana,2036,0.825
13,LA,louisiana,2037,0.825
14,LA,louisiana,2038,0.825
15,LA,louisiana,2039,0.825
16,LA,louisiana,2040,0.825
17,LA,louisiana,2041,0.825
18,LA,louisiana,2042,0.825
19,LA,louisiana,2043,0.825
20,LA,louisiana,2044,0.825
21,LA,louisiana,2045,0.825
22,LA,louisiana,2046,0.825
23,LA,louisiana,2047,0.825
24,LA,louisiana,2048,0.825
25,LA,louisiana,2049,0.825
26,LA,louisiana,2050,0.825
