Year,iso_code3,pij_lndu_croplands_to_forests_secondary
2020,LA,0.0013257852999492535
2021,LA,0.0013257852999492535
2022,LA,0.0013257852999492535
2023,LA,0.0013257852999492535
2024,LA,0.0013257852999492535
2025,LA,0.0013257852999492535
2026,LA,0.0013257852999492535
2027,LA,0.0013257852999492535
2028,LA,0.0013257852999492535
2029,LA,0.0013257852999492535
2030,LA,0.0013257852999492535
2031,LA,0.0013257852999492535
2032,LA,0.0013257852999492535
2033,LA,0.0013257852999492535
2034,LA,0.0013257852999492535
2035,LA,0.0013257852999492535
2036,LA,0.0013257852999492535
2037,LA,0.0013257852999492535
2038,LA,0.0013257852999492535
2039,LA,0.0013257852999492535
2040,LA,0.0013257852999492535
2041,LA,0.0013257852999492535
2042,LA,0.0013257852999492535
2043,LA,0.0013257852999492535
2044,LA,0.0013257852999492535
2045,LA,0.0013257852999492535
2046,LA,0.0013257852999492535
2047,LA,0.0013257852999492535
2048,LA,0.0013257852999492535
2049,LA,0.0013257852999492535
2050,LA,0.0013257852999492535
