iso_code3,Region,Year,frac_inen_energy_chemicals_solid_biomass
LA,louisiana,2021,0.001631915162321
LA,louisiana,2022,0.0020676486594028
LA,louisiana,2023,0.0019503168563375
LA,louisiana,2024,0.0017680742878253
LA,louisiana,2025,0.0015771259366306
LA,louisiana,2026,0.0014057304397517
LA,louisiana,2027,0.0012459162953402
LA,louisiana,2028,0.0010942580021048
LA,louisiana,2029,0.0009503463801199
LA,louisiana,2030,0.000814011871681
LA,louisiana,2031,0.0006847016562476
LA,louisiana,2032,0.0005617900545474
LA,louisiana,2033,0.0004447384929918
LA,louisiana,2034,0.000333093262102
LA,louisiana,2035,0.0002264577861028
LA,louisiana,2036,0.0001244792609113
LA,louisiana,2037,2.6842698281059675e-05
LA,louisiana,2038,0.0
LA,louisiana,2039,0.0
LA,louisiana,2040,0.0
LA,louisiana,2041,0.0
LA,louisiana,2042,0.0
LA,louisiana,2043,0.0
LA,louisiana,2044,0.0
LA,louisiana,2045,0.0
LA,louisiana,2046,0.0
LA,louisiana,2047,0.0
LA,louisiana,2048,0.0
LA,louisiana,2049,0.0
LA,louisiana,2050,0.0
