"Year","iso_code3","Region","occrateinit_gnrl_occupancy"
2015,"LA","louisiana",2.59
2016,"LA","louisiana",2.59
2017,"LA","louisiana",2.59
2018,"LA","louisiana",2.59
2019,"LA","louisiana",2.59
2020,"LA","louisiana",2.59
2021,"LA","louisiana",2.59
2022,"LA","louisiana",2.59
2023,"LA","louisiana",2.59
2024,"LA","louisiana",2.59
2025,"LA","louisiana",2.59
2026,"LA","louisiana",2.59
2027,"LA","louisiana",2.59
2028,"LA","louisiana",2.59
2029,"LA","louisiana",2.59
2030,"LA","louisiana",2.59
2031,"LA","louisiana",2.59
2032,"LA","louisiana",2.59
2033,"LA","louisiana",2.59
2034,"LA","louisiana",2.59
2035,"LA","louisiana",2.59
2036,"LA","louisiana",2.59
2037,"LA","louisiana",2.59
2038,"LA","louisiana",2.59
2039,"LA","louisiana",2.59
2040,"LA","louisiana",2.59
2041,"LA","louisiana",2.59
2042,"LA","louisiana",2.59
2043,"LA","louisiana",2.59
2044,"LA","louisiana",2.59
2045,"LA","louisiana",2.59
2046,"LA","louisiana",2.59
2047,"LA","louisiana",2.59
2048,"LA","louisiana",2.59
2049,"LA","louisiana",2.59
2050,"LA","louisiana",2.59
