STATEFP,STATE ABBREV,STATE NAME,2020 TOTAL POP,"2020 
URBAN POP",2020 PCT URBAN POP,"2020 
RURAL POP",2020 PCT RURAL POP,"2010 
TOTAL POP","2010 
URBAN POP",2010 PCT URBAN POP,"2010
 RURAL POP",2010 PCT RURAL POP,
01,AL,Alabama,"5,024,279","2,900,880",57.7,"2,123,399",42.3,"4,779,736","2,821,804",59.0,"1,957,932",41.0,
02,AK,Alaska,"733,391","475,967",64.9,"257,424",35.1,"710,231","468,893",66.0,"241,338",34.0,
04,AZ,Arizona,"7,151,502","6,385,230",89.3,"766,272",10.7,"6,392,017","5,740,659",89.8,"651,358",10.2,
05,AR,Arkansas,"3,011,524","1,670,677",55.5,"1,340,847",44.5,"2,915,918","1,637,589",56.2,"1,278,329",43.8,
06,CA,California,"39,538,223","37,259,490",94.2,"2,278,733",5.8,"37,253,956","35,373,606",95.0,"1,880,350",5.1,
08,CO,Colorado,"5,773,714","4,966,936",86.0,"806,778",14.0,"5,029,196","4,332,761",86.2,"696,435",13.9,
09,CT,Connecticut,"3,605,944","3,110,153",86.3,"495,791",13.7,"3,574,097","3,144,942",88.0,"429,155",12.0,
10,DE,Delaware,"989,948","817,817",82.6,"172,131",17.4,"897,934","747,949",83.3,"149,985",16.7,
11,DC,District of Columbia,"689,545","689,545",100.0,0,0.0,"601,723","601,723",100.0,0,0.0,
12,FL,Florida,"21,538,187","19,714,806",91.5,"1,823,381",8.5,"18,801,310","17,139,844",91.2,"1,661,466",8.8,
13,GA,Georgia,"10,711,908","7,933,986",74.1,"2,777,922",25.9,"9,687,653","7,272,151",75.1,"2,415,502",24.9,
15,HI,Hawaii,"1,455,271","1,252,450",86.1,"202,821",13.9,"1,360,301","1,250,489",91.9,"109,812",8.1,
16,ID,Idaho,"1,839,106","1,273,437",69.2,"565,669",30.8,"1,567,582","1,106,370",70.6,"461,212",29.4,
17,IL,Illinois,"12,812,508","11,137,590",86.9,"1,674,918",13.1,"12,830,632","11,353,553",88.5,"1,477,079",11.5,
18,IN,Indiana,"6,785,528","4,829,686",71.2,"1,955,842",28.8,"6,483,802","4,697,100",72.4,"1,786,702",27.6,
19,IA,Iowa,"3,190,369","2,014,831",63.2,"1,175,538",36.8,"3,046,355","1,950,256",64.0,"1,096,099",36.0,
20,KS,Kansas,"2,937,880","2,124,059",72.3,"813,821",27.7,"2,853,118","2,116,961",74.2,"736,157",25.8,
21,KY,Kentucky,"4,505,836","2,644,856",58.7,"1,860,980",41.3,"4,339,367","2,533,343",58.4,"1,806,024",41.6,
22,LA,Louisiana,"4,657,757","3,332,237",71.5,"1,325,520",28.5,"4,533,372","3,317,805",73.2,"1,215,567",26.8,
