"Year","Region","iso_code3","frac_lvst_mm_sheep_paddock_pasture_range"
2021,"louisiana","LA",0.46
2022,"louisiana","LA",0.46
2023,"louisiana","LA",0.46
2024,"louisiana","LA",0.46
2025,"louisiana","LA",0.46
2026,"louisiana","LA",0.46
2027,"louisiana","LA",0.46
2028,"louisiana","LA",0.46
2029,"louisiana","LA",0.46
2030,"louisiana","LA",0.46
2031,"louisiana","LA",0.46
2032,"louisiana","LA",0.46
2033,"louisiana","LA",0.46
2034,"louisiana","LA",0.46
2035,"louisiana","LA",0.46
2036,"louisiana","LA",0.46
2037,"louisiana","LA",0.46
2038,"louisiana","LA",0.46
2039,"louisiana","LA",0.46
2040,"louisiana","LA",0.46
2041,"louisiana","LA",0.46
2042,"louisiana","LA",0.46
2043,"louisiana","LA",0.46
2044,"louisiana","LA",0.46
2045,"louisiana","LA",0.46
2046,"louisiana","LA",0.46
2047,"louisiana","LA",0.46
2048,"louisiana","LA",0.46
2049,"louisiana","LA",0.46
2050,"louisiana","LA",0.46
