"Year","Region","iso_code3","frac_agrc_initial_area_cropland_cereals"
2008,"louisiana","LA",0.21442418367332
2009,"louisiana","LA",0.177782517352296
2010,"louisiana","LA",0.145837146031307
2011,"louisiana","LA",0.211951552909065
2012,"louisiana","LA",0.224279045030138
2013,"louisiana","LA",0.241430847040458
2014,"louisiana","LA",0.144801396404657
2015,"louisiana","LA",0.121080037222299
2016,"louisiana","LA",0.143143704008593
2017,"louisiana","LA",0.126812910524504
2018,"louisiana","LA",0.130970279921692
2019,"louisiana","LA",0.142434812567392
2020,"louisiana","LA",0.131716713896333
2021,"louisiana","LA",0.176159705913321
2022,"louisiana","LA",0.129945357359363
2023,"louisiana","LA",0.197203356416564
