Year,iso_code3,frac_lndu_proportion_grasslands_pasture
2020,LA,0.3352524748112681
2021,LA,0.3352524748112681
2022,LA,0.3352524748112681
2023,LA,0.3352524748112681
2024,LA,0.3352524748112681
2025,LA,0.3352524748112681
2026,LA,0.3352524748112681
2027,LA,0.3352524748112681
2028,LA,0.3352524748112681
2029,LA,0.3352524748112681
2030,LA,0.3352524748112681
2031,LA,0.3352524748112681
2032,LA,0.3352524748112681
2033,LA,0.3352524748112681
2034,LA,0.3352524748112681
2035,LA,0.3352524748112681
2036,LA,0.3352524748112681
2037,LA,0.3352524748112681
2038,LA,0.3352524748112681
2039,LA,0.3352524748112681
2040,LA,0.3352524748112681
2041,LA,0.3352524748112681
2042,LA,0.3352524748112681
2043,LA,0.3352524748112681
2044,LA,0.3352524748112681
2045,LA,0.3352524748112681
2046,LA,0.3352524748112681
2047,LA,0.3352524748112681
2048,LA,0.3352524748112681
2049,LA,0.3352524748112681
2050,LA,0.3352524748112681
